tyden,vek,poradi_davky,pocet_davek
2021-W51,50-59,3,75130
2021-W51,50-59,2,4405
2021-W51,50-59,1,1311
2021-W51,0-29,2,17558
2021-W51,0-29,3,5882
2021-W51,30-39,1,2770
2021-W51,30-39,2,8680
2021-W51,0-29,1,12305
2021-W51,40-49,1,2115
2021-W51,40-49,2,6775
2021-W51,40-49,3,46480
2021-W51,30-39,3,8448
2021-W52,60-69,1,614
2021-W52,80-129,3,4512
2021-W52,80-129,2,736
2021-W52,80-129,1,199
2021-W52,70-79,3,17473
2021-W52,70-79,2,1731
2021-W52,70-79,1,370
2021-W52,60-69,3,31350
2021-W52,60-69,2,2561
2021-W52,50-59,3,66776
2021-W52,50-59,2,3331
2021-W52,50-59,1,972
2021-W52,0-29,2,13037
2021-W52,0-29,3,5611
2021-W52,30-39,1,2167
2021-W52,30-39,2,6653
2021-W52,0-29,1,13111
2021-W52,40-49,1,1612
2021-W52,40-49,2,4953
2021-W52,40-49,3,74076
2021-W52,30-39,3,30847
2022-W01,60-69,1,1315
2022-W01,80-129,2,1229
2022-W01,80-129,1,423
2022-W01,70-79,3,33479
2022-W01,70-79,2,2415
2022-W01,70-79,1,866
2022-W01,60-69,3,56093
2022-W01,60-69,2,3508
2022-W01,80-129,3,8658
2022-W01,50-59,3,102591
2022-W01,40-49,2,6467
2022-W01,50-59,1,1820
2022-W01,0-29,1,20950
2022-W01,0-29,2,19582
2022-W01,0-29,3,30800
2022-W01,30-39,1,4695
2022-W01,50-59,2,4341
2022-W01,30-39,3,72217
2022-W01,40-49,1,3011
2022-W01,40-49,3,140350
2022-W01,30-39,2,9033
2022-W02,60-69,1,1223
2022-W02,80-129,3,9861
2022-W02,80-129,2,633
2022-W02,80-129,1,478
2022-W02,70-79,3,33600
2022-W02,70-79,2,1223
2022-W02,70-79,1,856
2022-W02,60-69,3,52132
2022-W02,60-69,2,1826
2022-W02,50-59,3,82551
2022-W02,50-59,2,2183
2022-W02,50-59,1,1743
2022-W02,0-29,2,13606
2022-W02,0-29,3,50387
2022-W02,30-39,1,3969
2022-W02,30-39,2,4239
2022-W02,0-29,1,19006
2022-W02,40-49,1,2792
2022-W02,40-49,2,3220
2022-W02,40-49,3,113091
2022-W02,30-39,3,71435
2022-W03,60-69,1,923
2022-W03,80-129,2,327
2022-W03,80-129,1,322
2022-W03,70-79,3,21334
2022-W03,70-79,2,614
2022-W03,70-79,1,572
2022-W03,60-69,3,31931
2022-W03,60-69,2,902
2022-W03,80-129,3,6449
2022-W03,50-59,3,47426
2022-W03,40-49,2,1957
2022-W03,50-59,1,1285
2022-W03,40-49,3,62688
2022-W03,40-49,1,1948
2022-W03,30-39,3,46523
2022-W03,30-39,2,2744
2022-W03,30-39,1,3098
2022-W03,0-29,3,41502
2022-W03,0-29,2,12260
2022-W03,0-29,1,12260
2022-W03,50-59,2,1299
2022-W04,60-69,2,1092
2022-W04,60-69,3,21799
2022-W04,70-79,1,378
2022-W04,80-129,3,4415
